Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0112	0.00000	7.27867	52.97903	0.46793	52.51109	16.24906	0.98926	0.00000
0113	0.00000	7.24063	52.42673	0.37378	52.05295	16.51189	0.98926	0.00000
0114	0.00000	6.26749	39.28138	0.00000	39.28138	29.28774	0.99902	0.72559
0115	0.00000	7.41106	54.92385	0.87284	54.05101	15.36861	0.98926	0.00000
0116	0.00000	8.24584	67.99386	5.87927	62.11459	10.84155	0.98145	0.00000
0117	0.00000	7.83043	61.31559	2.89168	58.42391	12.89495	0.98535	0.00000
0118	0.00000	8.35849	69.86435	6.84254	63.02181	10.34220	0.98145	0.00000
0119	0.00000	6.85973	47.05590	0.00000	47.05590	19.97630	0.99316	0.18457
0120	0.00000	7.34418	53.93696	0.65349	53.28347	15.80688	0.98926	0.00000
0121	0.00000	6.83918	46.77435	0.00000	46.77435	20.31144	0.99316	0.20801
0122	0.00000	6.25412	39.11401	0.00000	39.11401	29.48967	0.99902	0.73340
0123	0.00000	7.18767	51.66261	0.25966	51.40295	16.88544	0.99121	0.00000
0124	0.00000	7.10187	50.43660	0.11771	50.31889	17.51018	0.99121	0.00000
0125	0.00000	6.36697	40.53824	0.00000	40.53824	27.77360	0.99902	0.65527
0126	0.00000	6.29473	39.62357	0.00000	39.62357	28.87513	0.99902	0.70801
0127	0.00000	8.51045	72.42772	8.23874	64.18897	9.70321	0.97949	0.00000
0128	0.00000	6.97037	48.58600	0.00707	48.57893	18.51725	0.99121	0.05957
0129	0.00000	6.95342	48.35011	0.00254	48.34757	18.65155	0.99121	0.07910
0130	0.00000	7.19575	51.77885	0.27578	51.50307	16.82786	0.98926	0.00000
0131	0.00000	7.27556	52.93372	0.45985	52.47387	16.27040	0.98926	0.00000
0132	0.00000	7.47091	55.81445	1.09408	54.72037	14.98736	0.98926	0.00000
0133	0.00000	6.08621	37.04192	0.00000	37.04192	31.99558	0.99902	0.82715
0134	0.00000	8.19575	67.17030	5.47118	61.69913	11.07096	0.98340	0.00000
0135	0.00000	7.57236	57.34064	1.52157	55.81908	14.36354	0.98730	0.00000
0136	0.00000	8.26344	68.28446	6.02567	62.25880	10.76202	0.98145	0.00000
0137	0.00000	7.60112	57.77708	1.65449	56.12260	14.19166	0.98730	0.00000
0138	0.00000	7.42997	55.20453	0.94023	54.26429	15.24703	0.98926	0.00000
0139	0.00000	7.45522	55.58024	1.03382	54.54642	15.08635	0.98926	0.00000
0140	0.00000	7.28117	53.01542	0.47447	52.54095	16.23195	0.98926	0.00000
0141	0.00000	8.09421	65.51629	4.68312	60.83317	11.55061	0.98340	0.00000
0142	0.00000	7.45239	55.53808	1.02313	54.51495	15.10427	0.98926	0.00000
0143	0.00000	6.71269	45.06026	0.00000	45.06026	22.35488	0.99512	0.34277
0144	0.00000	7.72347	59.65195	2.27600	57.37595	13.48398	0.98730	0.00000
0145	0.00000	7.45818	55.62452	1.04510	54.57942	15.06757	0.98926	0.00000
0146	0.00000	8.04029	64.64622	4.28636	60.35987	11.81358	0.98340	0.00000
0147	0.00000	6.50974	42.37671	0.00000	42.37671	25.56538	0.99707	0.54004
0148	0.00000	7.54444	56.91858	1.39745	55.52113	14.53246	0.98730	0.00000
0149	0.00000	7.20840	51.96107	0.30196	51.65912	16.73813	0.98926	0.00000
0150	0.00000	7.74586	59.99839	2.39942	57.59897	13.35842	0.98730	0.00000
0151	0.00000	7.17255	51.44542	0.23075	51.21467	16.99379	0.99121	0.00000
0152	0.00000	8.29354	68.78280	6.27954	62.50325	10.62734	0.98145	0.00000
0153	0.00000	7.19294	51.73836	0.27011	51.46824	16.84789	0.98926	0.00000
0154	0.00000	6.85631	47.00897	0.00000	47.00897	20.03216	0.99316	0.18848
0155	0.00000	7.20904	51.97021	0.30330	51.66691	16.73365	0.98926	0.00000
0156	0.00000	5.30141	28.10499	0.00000	28.10499	41.42351	0.99902	0.98926
0157	0.00000	8.47382	71.80564	7.89226	63.91339	9.85373	0.97949	0.00000
